id,question,answer,reference
1,"Người điều khiển xe đạp máy, xe máy điện có bắt buộc đội mũ bảo hiểm không?","Căn cứ theo khoản 3 Điều 31 Luật Trật tự, an toàn giao thông đường bộ 2024, người điều khiển, người được chở trên xe đạp máy phải đội mũ bảo hiểm theo đúng quy chuẩn kỹ thuật quốc gia và cài quai đúng quy cách.",36/2024/QH15::article::31::clause::3
2,Trong đô thị trường hợp nào dưới đây xe không được dùng còi (trừ các xe ưu tiên theo Luật định)?,"Căn cứ theo khoản 2 Điều 21 Luật Trật tự, an toàn giao thông đường bộ 2024, không sử dụng còi liên tục; không sử dụng còi có âm lượng không đúng quy định; không sử dụng còi trong thời gian từ 22 giờ ngày hôm trước đến 05 giờ ngày hôm sau trong khu đông dân cư, khu vực cơ sở khám bệnh, chữa bệnh, trừ xe ưu tiên.",36/2024/QH15::article::21::clause::2
3,Độ tuổi được điều khiển xe gắn máy?,"Căn cứ theo khoản 1 Điều 59 Luật Trật tự, an toàn giao thông đường bộ 2024 quy định:
Độ tuổi của người lái xe, người điều khiển xe máy chuyên dùng được quy định như sau:
a) Người đủ 16 tuổi trở lên được điều khiển xe gắn máy;
b) Người đủ 18 tuổi trở lên được cấp giấy phép lái xe hạng A1, A, B1, B, C1, được cấp chứng chỉ bồi dưỡng kiến thức pháp luật về giao thông đường bộ để điều khiển xe máy chuyên dùng tham gia giao thông đường bộ;
c) Người đủ 21 tuổi trở lên được cấp giấy phép lái xe hạng C, BE;
d) Người đủ 24 tuổi trở lên được cấp giấy phép lái xe hạng D1, D2, C1E, CE;
đ) Người đủ 27 tuổi trở lên được cấp giấy phép lái xe hạng D, D1E, D2E, DE;
e) Tuổi tối đa của người lái xe ô tô chở người (kể cả xe buýt) trên 29 chỗ (không kể chỗ của người lái xe), xe ô tô chở người giường nằm là đủ 57 tuổi đối với nam, đủ 55 tuổi đối với nữ.
Như vậy, theo quy định trên thì độ tuổi được điều khiển xe gắn máy là đủ 16 tuổi trở lên.",36/2024/QH15::article::59::clause::1::point::a
4,"Người ngồi trên xe mô tô hai bánh, ba bánh, xe gắn máy khi tham gia giao thông có được mang vác vật cồng kềnh hay không?","Căn cứ theo khoản 4 Điều 33 Luật Trật tự, an toàn giao thông đường bộ 2024, người được chở trên xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy khi tham gia giao thông đường bộ không được thực hiện các hành vi sau đây:
a) Mang, vác vật cồng kềnh;
b) Sử dụng ô;
c) Bám, kéo hoặc đẩy các phương tiện khác;
d) Đứng trên yên, giá đèo hàng hoặc ngồi trên tay lái;
đ) Hành vi khác gây mất trật tự, an toàn giao thông đường bộ.
Như vậy, theo quy định trên thì người ngồi trên xe mô tô hai bánh, ba bánh, xe gắn máy khi tham gia giao thông không được mang, vác vật cồng kềnh.",36/2024/QH15::article::33::clause::4::point::a
5,"Có bị tịch thu xe máy nếu thay đổi người điều khiển khi xe đang chạy hay không? Ngoài việc bị tịch thu xe máy nếu thay đổi người điều khiển khi xe đang chạy, người lái xe máy có bị trừ điểm giấy phép lái xe không?","Căn cứ khoản 11, Điều 7 Nghị định 168/2024/NĐ-CP quy định về xử phạt, trừ điểm giấy phép lái của người điều khiển xe mô tô, xe gắn máy, các loại xe tương tự xe mô tô và các loại xe tương tự xe gắn máy vi phạm quy tắc giao thông đường bộ như sau:
Điều 7. Xử phạt, trừ điểm giấy phép lái của người điều khiển xe mô tô, xe gắn máy, các loại xe tương tự xe mô tô và các loại xe tương tự xe gắn máy vi phạm quy tắc giao thông đường bộ
11. Tịch thu phương tiện đối với người điều khiển xe thực hiện một trong các hành vi vi phạm sau đây:
a) Buông cả hai tay khi đang điều khiển xe; dùng chân điều khiển xe; ngồi về một bên điều khiển xe; nằm trên yên xe điều khiển xe; thay người điều khiển khi xe đang chạy; quay người về phía sau để điều khiển xe hoặc bịt mắt điều khiển xe;
Như vậy, người điều khiển xe máy sẽ bị tịch thu xe máy nếu thay đổi người điều khiển khi xe đang chạy.
Theo khoản 12 và khoản 13, Điều 7 Nghị định 168/2024/NĐ-CP có quy định như sau:
Điều 7. Xử phạt, trừ điểm giấy phép lái của người điều khiển xe mô tô, xe gắn máy, các loại xe tương tự xe mô tô và các loại xe tương tự xe gắn máy vi phạm quy tắc giao thông đường bộ
12. Ngoài việc bị áp dụng hình thức xử phạt chính, người điều khiển xe thực hiện hành vi vi phạm còn bị áp dụng các hình thức xử phạt bổ sung sau đây:
a) Thực hiện hành vi quy định tại điểm đ khoản 2 Điều này còn bị tịch thu thiết bị phát tín hiệu ưu tiên lắp đặt, sử dụng trái quy định;
b) Thực hiện hành vi quy định tại điểm a, điểm b, điểm h, điểm i, điểm k khoản 9 Điều này bị tước quyền sử dụng giấy phép lái xe từ 10 tháng đến 12 tháng;
c) Thực hiện hành vi quy định tại điểm d, điểm đ, điểm e, điểm g khoản 9; khoản 11 Điều này bị tước quyền sử dụng giấy phép lái xe từ 22 tháng đến 24 tháng.
13. Ngoài việc bị áp dụng hình thức xử phạt, người điều khiển xe thực hiện hành vi vi phạm còn bị trừ điểm giấy phép lái xe như sau:
a) Thực hiện hành vi quy định tại điểm b khoản 3; khoản 5; điểm b, điểm c, điểm d khoản 6; điểm a khoản 7 Điều này bị trừ điểm giấy phép lái xe 02 điểm;
b) Thực hiện hành vi quy định tại điểm đ khoản 4; điểm a khoản 6; điểm c, điểm d, điểm đ khoản 7; điểm a khoản 8 Điều này bị trừ điểm giấy phép lái xe 04 điểm;
c) Thực hiện hành vi quy định tại điểm b khoản 7, điểm c khoản 9 Điều này bị trừ điểm giấy phép lái xe 06 điểm;
d) Thực hiện hành vi quy định tại điểm b khoản 8, khoản 10 Điều này bị trừ điểm giấy phép lái xe 10 điểm.
Theo đó, người lái xe máy sẽ không bị trừ điểm giấy phép lái xe nếu phạm lỗi thay đổi người điều khiển khi xe đang chạy.","168/2024/NĐ-CP::article::7::clause::11::point::a, 168/2024/NĐ-CP::article::7::clause::12, 168/2024/NĐ-CP::article::7::clause::13"
6,Nếu người dân không nhường đường cho xe ưu tiên thì có bị phạt không?,"Theo Nghị định 168/2024, hành vi không nhường đường hoặc gây cản trở xe ưu tiên đang phát tín hiệu sẽ bị xử phạt hành chính rất nặng. Cụ thể, tại Điều 6 Khoản 6 của Nghị định này, người điều khiển phương tiện không nhường đường cho xe ưu tiên sẽ bị phạt tiền từ 6 triệu đồng đến 8 triệu đồng.
Ngoài phạt tiền, người vi phạm còn có thể bị trừ 04 điểm trên giấy phép lái xe theo quy định mới của Điều 6 Khoản 16 Nghị định 168/2024. Đây là biện pháp răn đe mạnh mẽ nhằm nâng cao ý thức chấp hành luật giao thông và đảm bảo ưu tiên cho các nhiệm vụ cấp bách như cứu thương, chữa cháy.","168/2024/NĐ-CP::article::6::clause::6::point::b, 168/2024/NĐ-CP::article::6::clause::16::point::b"
7,Khi điều khiển xe máy vào lúc dừng đèn đỏ thì tôi có được sử dụng điện thoại không?,"Sử dụng điện thoại khi tham gia giao thông là một trong những hành vi khá nguy hiểm và có thể gây ra tai nạn giao thông do việc sử dụng điện thoại khiến người điều khiển phương tiện giao thông bị sao nhãng mất tập trung.
Tại khoản 6, Điều 9 Luật Trật tự, an toàn giao thông đường bộ 2024 có quy định về các hành vi bị nghiêm cấm:
Điều 9. Các hành vi bị nghiêm cấm
6. Dùng tay cầm và sử dụng điện thoại hoặc thiết bị điện tử khác khi điều khiển phương tiện tham gia giao thông đang di chuyển trên đường bộ.
Theo đó, một trong những hành vi bị nghiêm cấm khi điều khiển phương tiện tham gia giao thông đang di chuyển trên đường bộ là dùng tay cầm và sử dụng điện thoại hoặc thiết bị điện tử khác.
Hiện nay pháp luật không quy định cụ thể việc điều khiển phương tiện dừng đèn đỏ có thuộc trường hợp đang di chuyển trên đường bộ hay không. Tuy nhiên, tại Điều 18 Luật Trật tự, an toàn giao thông đường bộ 2024 có quy định về dừng xe, dỗ xe như sau:
1. Dừng xe là trạng thái đứng yên tạm thời của xe trong một khoảng thời gian cần thiết đủ để cho người lên xe, xuống xe, xếp dỡ hàng hóa, kiểm tra kỹ thuật xe hoặc hoạt động khác. Khi dừng xe không được tắt máy và không được rời khỏi vị trí lái, trừ trường hợp rời khỏi vị trí lái để đóng, mở cửa xe, xếp dỡ hàng hóa, kiểm tra kỹ thuật xe nhưng phải sử dụng phanh đỗ xe hoặc thực hiện biện pháp an toàn khác.
2. Đỗ xe là trạng thái đứng yên của xe không giới hạn thời gian. Khi đỗ xe, người điều khiển phương tiện tham gia giao thông đường bộ chỉ được rời khỏi xe khi đã sử dụng phanh đỗ xe hoặc thực hiện biện pháp an toàn khác. Xe đỗ trên đoạn đường dốc phải đánh lái về phía lề đường, chèn bánh.
5. Trên đường bộ, người điều khiển phương tiện tham gia giao thông đường bộ chỉ được dừng xe, đỗ xe ở nơi có lề đường rộng hoặc khu đất ở bên ngoài phần đường xe chạy; trường hợp lề đường hẹp hoặc không có lề đường thì chỉ được dừng xe, đỗ xe sát mép đường phía bên phải theo chiều đi của mình.
6. Trên đường phố, người điều khiển phương tiện tham gia giao thông đường bộ chỉ được dừng xe, đỗ xe sát theo lề đường, vỉa hè phía bên phải theo chiều đi của mình; bánh xe gần nhất không được cách xa lề đường, vỉa hè quá 0,25 mét và không gây cản trở, nguy hiểm cho người và phương tiện tham gia giao thông đường bộ.
Như vậy, có thể thấy việc đang dừng đèn đỏ trên đường không được xem là trường hợp dừng xe, đỗ xe, người điều khiển phương tiện tham gia giao thông vẫn có thể bị xử phạt theo quy định đối với hành vi sử dụng điện thoại khi tham gia giao thông. Do đó, nếu muốn sử dụng điện thoại di động khi đang tham gia giao thông, chỉ nên sử dụng điện thoại khi đang dừng xe, đỗ xe theo quy định của pháp luật.","36/2024/QH15::article::9::clause::6, 36/2024/QH15::article::18::clause::1, 36/2024/QH15::article::18::clause::2, 36/2024/QH15::article::18::clause::5, 36/2024/QH15::article::18::clause::6"
8,"Hành vi điều khiển xe trên đường vượt xe không đúng quy định đối với người điều khiển xe ô tô, xe chở người bốn bánh có gắn động cơ, xe chở hàng bốn bánh có gắn động cơ và các loại xe tương tự xe ô tô bị xử phạt vi phạm hành chính như thế nào?","Phạt tiền từ 4.000.000 đồng đến 6.000.000 đồng đối với hành vi vượt xe trong những trường hợp không được vượt, vượt xe tại đoạn đường có biển báo hiệu có nội dung cấm vượt (đối với loại phương tiện đang điều khiển); không có tín hiệu trước khi vượt hoặc có tín hiệu vượt xe nhưng không sử dụng trong suốt quá trình vượt xe; vượt bên phải xe khác trong trường hợp không được phép quy định tại điểm a khoản 5 Điều 6 Nghị định 168/2024/NĐ-CP ngày 26/12/2024 của Chính phủ quy định về xử phạt vi phạm hành chính về trật tự, an toàn giao thông trong lĩnh vực giao thông đường bộ; trừ điểm, phục hồi điểm giấy phép lái xe. Ngoài việc bị phạt tiền người vi phạm thực hiện hành vi vi phạm còn bị trừ điểm giấy phép lái xe 02 điểm tại điểm a khoản 16 Điều 6 Nghị định 168/2024/NĐ-CP ngày 26/12/2024 của Chính phủ quy định về xử phạt vi phạm hành chính về trật tự, an toàn giao thông trong lĩnh vực giao thông đường bộ; trừ điểm, phục hồi điểm giấy phép lái xe.","168/2024/NĐ-CP::article::6::clause::5::point::a, 168/2024/NĐ-CP::article::6::clause::16::point::a"
9,"Ông V được Sở Giao thông vận tải thông báo đã tích hợp bằng lái xe 2 bánh và xe 4 bánh. Trong năm ông có vi phạm giao thông và bị tước bằng lái xe 2 bánh 23 tháng. Đến nay bằng lái xe 4 bánh của ông đến hạn đổi. Ông V hỏi, ông có đổi được bằng lái xe 4 bánh không? Tại sao?","Căn cứ Điều 5 Nghị định 168/2024/NĐ-CP quy định tước quyền sử dụng giấy phép, chứng chỉ hành nghề có thời hạn như sau:
5. Trường hợp cá nhân, tổ chức vi phạm hành chính bị áp dụng hình thức xử phạt tước quyền sử dụng giấy phép, chứng chỉ hành nghề nhưng thời hạn sử dụng còn lại của giấy phép, chứng chỉ hành nghề đó ít hơn thời hạn bị tước thì người có thẩm quyền vẫn ra quyết định xử phạt có áp dụng hình thức tước quyền sử dụng giấy phép, chứng chỉ hành nghề theo quy định đối với hành vi vi phạm. Trong thời gian bị tước quyền sử dụng giấy phép, chứng chỉ hành nghề, cá nhân, tổ chức không được làm thủ tục cấp mới, đổi, cấp lại giấy phép, chứng chỉ hành nghề, trừ trường hợp quy định tại khoản 6 Điều này.
6. Trường hợp tước quyền sử dụng giấy phép lái xe tích hợp giấy phép lái xe không thời hạn (xe mô tô, xe tương tự xe mô tô) và giấy phép lái xe có thời hạn (xe ô tô, xe tương tự xe ô tô, xe chở người bốn bánh có gắn động cơ, xe chở hàng bốn bánh có gắn động cơ) thì người có thẩm quyền xử phạt áp dụng tước quyền sử dụng đối với giấy phép lái xe không thời hạn khi người điều khiển xe mô tô, xe tương tự xe mô tô hoặc tước quyền sử dụng đối với giấy phép lái xe có thời hạn khi người điều khiển xe ô tô, xe tương tự xe ô tô, xe chở người bốn bánh có gắn động cơ, xe chở hàng bốn bánh có gắn động cơ thực hiện hành vi vi phạm hành chính có quy định bị tước quyền sử dụng giấy phép lái xe. Trong thời gian bị tước quyền sử dụng, người có giấy phép lái xe tích hợp được cấp, đổi giấy phép lái xe đối với giấy phép lái xe không bị tước quyền sử dụng.
Theo đó, trong trường hợp ông V, giấy phép lái xe bị tước chỉ là một phần của giấy phép lái xe tích hợp, thì ông vẫn có thể thực hiện thủ tục cấp đổi đối với phần giấy phép không bị tước quyền sử dụng.","168/2024/NĐ-CP::article::5::clause::5, 168/2024/NĐ-CP::article::5::clause::6"
10,Lỗi không mang theo giấy phép lái xe phạt bao nhiêu tiền?,"Căn cứ điểm d khoản 2, điểm a khoản 3 Điều 18 Nghị định 168/2024/NĐ-CP quy định về xử phạt, trừ điểm giấy phép lái xe các hành vi vi phạm quy định về điều kiện của người điều khiển xe cơ giới như sau:
Điều 18. Xử phạt, trừ điểm giấy phép lái xe các hành vi vi phạm quy định về điều kiện của người điều khiển xe cơ giới
2. Phạt tiền từ 200.000 đồng đến 300.000 đồng đối với một trong các hành vi vi phạm sau đây:
d) Người điều khiển xe mô tô và các loại xe tương tự xe mô tô kinh doanh vận tải không mang theo giấy phép lái xe trừ hành vi vi phạm quy định tại điểm b khoản 5, điểm c khoản 7 Điều này.
3. Phạt tiền từ 300.000 đồng đến 400.000 đồng đối với một trong các hành vi vi phạm sau đây:
a) Người điều khiển xe ô tô, xe chở người bốn bánh có gắn động cơ, xe chở hàng bốn bánh có gắn động cơ và các loại xe tương tự xe ô tô kinh doanh vận tải không mang theo giấy phép lái xe, trừ hành vi vi phạm quy định tại điểm c khoản 8 Điều này;
Như vậy, lỗi không mang theo giấy phép lái xe sẽ bị phạt như sau:
- Người điều khiển xe mô tô và các loại xe tương tự xe mô tô kinh doanh vận tải không mang theo giấy phép lái xe trừ hành vi vi phạm quy định tại điểm b khoản 5, điểm c khoản 7 Điều 18 Nghị định 168 phạt tiền từ 200.000 đồng đến 300.000 đồng.
- Người điều khiển xe ô tô, xe chở người bốn bánh có gắn động cơ, xe chở hàng bốn bánh có gắn động cơ và các loại xe tương tự xe ô tô kinh doanh vận tải không mang theo giấy phép lái xe, trừ hành vi vi phạm quy định tại điểm c khoản 8 Điều 18 Nghị định 168 phạt tiền từ 300.000 đồng đến 400.000 đồng.","168/2024/NĐ-CP::article::18::clause::2::point::d, 168/2024/NĐ-CP::article::18::clause::3::point::a"
