id,question,answer,reference
1,Quy tắc tham gia giao thông đường bộ được quy định như thế nào?,"Theo Điều 10 Luật Trật tự giao thông đường bộ năm 2024 quy định quy tắc tham gia giao thông đường bộ như sau:
1. Người tham gia giao thông đường bộ phải đi bên phải theo chiều đi của mình, đi đúng làn đường, phần đường quy định, chấp hành báo hiệu đường bộ và các quy tắc giao thông đường bộ khác.
2. Người lái xe và người được chở trên xe ô tô phải thắt dây đai an toàn tại những chỗ có trang bị dây đai an toàn khi tham gia giao thông đường bộ.
3. Khi chở trẻ em dưới 10 tuổi và chiều cao dưới 1,35 mét trên xe ô tô không được cho trẻ em ngồi cùng hàng ghế với người lái xe, trừ loại xe ô tô chỉ có một hàng ghế; người lái xe phải sử dụng, hướng dẫn sử dụng thiết bị an toàn phù hợp cho trẻ em.",36/2024/QH15::article::10
2,"Đấu giá biển số xe được quy định như nào trong Luật Trật tự, an toàn giao thông đường bộ?","Theo điều 37 Luật Trật tự, an toàn giao thông đường bộ năm 2024 quy định đấu giá biển số xe như sau:
1. Biển số xe đưa ra đấu giá là biển số xe ô tô, xe mô tô, xe gắn máy được quy định tại điểm c và điểm d khoản 2 Điều 36 của Luật này, được công khai để tổ chức, cá nhân lựa chọn đăng ký tham gia đấu giá. Biển số xe không được tổ chức, cá nhân lựa chọn để đăng ký tham gia đấu giá được chuyển vào hệ thống đăng ký, quản lý xe để đăng ký theo quy định của pháp luật.
2. Giá khởi điểm của một biển số xe ô tô đưa ra đấu giá không thấp hơn 40 triệu đồng; giá khởi điểm một biển số xe mô tô, xe gắn máy đưa ra đấu giá không thấp hơn 05 triệu đồng.
3. Tiền đặt trước không thấp hơn giá khởi điểm của loại biển số xe đưa ra đấu giá.
4. Khi hết thời hạn đăng ký tham gia đấu giá mà chỉ có một người đăng ký tham gia đấu giá hoặc có nhiều người đăng ký tham gia đấu giá nhưng chỉ có một người tham gia đấu giá hoặc có nhiều người tham gia đấu giá nhưng chỉ có một người trả giá ít nhất bằng giá khởi điểm của một biển số xe đưa ra đấu giá thì người đó được xác định là người trúng đấu giá biển số xe.
5. Đăng ký xe và biển số xe trúng đấu giá sau khi chuyển nhượng, trao đổi, tặng cho, để thừa kế xe gắn biển số xe trúng đấu giá được quản lý, cấp, thu hồi theo quy định tại Điều 39 của Luật này.
6. Số tiền thu được từ đấu giá biển số xe sau khi trừ các khoản chi phí tổ chức đấu giá, chi phí quảng cáo, chi phí quản trị hệ thống đấu giá được nộp vào ngân sách trung ương theo quy định của pháp luật về ngân sách nhà nước.
7. Chính phủ quy định chi tiết Điều này; quy định bước giá, hình thức, phương thức, trình tự, thủ tục đấu giá biển số xe.","36/2024/QH15::article::37, 36/2024/QH15::article::36::clause::2::point::c, 36/2024/QH15::article::36::clause::2::point::d, 36/2024/QH15::article::39"
3,Người trúng đấu giá biển số xe có quyền như nào?,"Theo khoản 1 Điều 38 Luật Trật tự, an toàn giao thông đường bộ năm 2024 quy định người trúng đấu giá biển số xe có quyền sau:
- Được cấp quyết định xác nhận biển số xe trúng đấu giá sau khi nộp đủ số tiền trúng đấu giá;
- Được đăng ký biển số xe trúng đấu giá gắn với phương tiện thuộc sở hữu của mình tại cơ quan Công an nơi quản lý biển số xe trúng đấu giá hoặc nơi thường trú, tạm trú của cá nhân, trụ sở của tổ chức trúng đấu giá;
- Được chuyển nhượng, trao đổi, tặng cho, để thừa kế xe gắn với biển số xe trúng đấu giá;
- Trong thời hạn 30 ngày kể từ ngày có thông báo kết quả trúng đấu giá mà chưa được cấp quyết định xác nhận biển số xe trúng đấu giá, nếu người trúng đấu giá chết thì kết quả trúng đấu giá sẽ bị hủy, người thừa kế theo quy định của pháp luật về thừa kế được nhận đủ số tiền trúng đấu giá mà người trúng đấu giá đã nộp;
- Trong thời hạn 12 tháng kể từ ngày được cấp quyết định xác nhận biển số xe trúng đấu giá, nếu người trúng đấu giá chết nhưng chưa thực hiện thủ tục đăng ký xe để gắn biển số xe trúng đấu giá thì kết quả trúng đấu giá sẽ bị hủy, người thừa kế theo quy định của pháp luật về thừa kế được nhận đủ số tiền trúng đấu giá mà người trúng đấu giá đã nộp.",36/2024/QH15::article::38::clause::1
4,Người trúng đấu giá biển số xe phải có nghĩa vụ như thế nào?,"Theo khoản 1 Điều 38 Luật Trật tự, an toàn giao thông đường bộ năm 2024 quy định người trúng đấu giá biển số xe có nghĩa vụ sau:
- Nộp đủ số tiền trúng đấu giá trong thời hạn 30 ngày kể từ ngày có thông báo kết quả trúng đấu giá; tiền trúng đấu giá không bao gồm lệ phí đăng ký, cấp biển số xe. Sau thời hạn quy định, người trúng đấu giá biển số xe không nộp hoặc nộp không đủ tiền trúng đấu giá thì biển số xe trúng đấu giá được đấu giá lại hoặc chuyển vào hệ thống đăng ký, quản lý xe và người trúng đấu giá không được hoàn trả số tiền đặt trước, số tiền đã nộp, không được tham gia đấu giá biển số xe trong thời hạn 12 tháng kể từ ngày có thông báo kết quả trúng đấu giá;
- Thực hiện thủ tục đăng ký xe để gắn biển số xe trúng đấu giá trong thời hạn 12 tháng kể từ ngày được cấp quyết định xác nhận biển số xe trúng đấu giá; trường hợp sự kiện bất khả kháng hoặc trở ngại khách quan thì thời hạn này được kéo dài thêm nhưng tối đa không quá 06 tháng. Sau thời hạn quy định, người trúng đấu giá biển số xe không thực hiện thủ tục đăng ký xe để gắn biển số xe trúng đấu giá thì biển số xe trúng đấu giá được đấu giá lại hoặc chuyển vào hệ thống đăng ký, quản lý xe và người trúng đấu giá không được hoàn trả số tiền trúng đấu giá đã nộp;
- Không được chuyển nhượng, trao đổi, tặng cho, để thừa kế biển số xe trúng đấu giá, trừ trường hợp quy định tại điểm c khoản 1 Điều này.",36/2024/QH15::article::38::clause::1
5,"Xe ô tô trở trẻ em mầm non, học sinh được quy định như thế nào?","Điều 46 Luật Trật tự, an toàn giao thông đường bộ năm 2024 quy định đối với xe trở trẻ em mầm non, học sinh phải đáp ứng các yêu cầu sau đây:
- Bảo đảm các điều kiện quy định tại khoản 1, khoản 2 Điều 35 của Luật này; có thiết bị ghi nhận hình ảnh trẻ em mầm non, học sinh và thiết bị có chức năng cảnh báo, chống bỏ quên trẻ em trên xe; có niên hạn sử dụng không quá 20 năm; có màu sơn theo quy định của Chính phủ;
-  Xe ô tô chở trẻ em mầm non hoặc học sinh tiểu học phải có dây đai an toàn phù hợp với lứa tuổi hoặc sử dụng xe có ghế ngồi phù hợp với lứa tuổi theo quy định của pháp luật.
- Xe ô tô kinh doanh vận tải kết hợp với hoạt động đưa đón trẻ em mầm non, học sinh phải đáp ứng các yêu cầu theo quy định tại khoản 3 Điều 10, khoản 1 và khoản 2 Điều 35 của Luật này; có thiết bị ghi nhận hình ảnh trẻ em mầm non, học sinh và thiết bị có chức năng cảnh báo, chống bỏ quên trẻ em trên xe đáp ứng yêu cầu theo quy định tại điểm a khoản 1 Điều này.
- Khi đưa đón trẻ em mầm non, học sinh tiểu học phải bố trí tối thiểu 01 người quản lý trên mỗi xe ô tô để hướng dẫn, giám sát, duy trì trật tự và bảo đảm an toàn cho trẻ em mầm non, học sinh tiểu học trong suốt chuyến đi. Trường hợp xe từ 29 chỗ trở lên (không kể chỗ của người lái xe) mà chở từ 27 trẻ em mầm non và học sinh tiểu học trở lên phải bố trí tối thiểu 02 người quản lý trên mỗi xe ô tô. Người quản lý, người lái xe có trách nhiệm kiểm tra trẻ em mầm non, học sinh tiểu học khi xuống xe; không được để trẻ em mầm non, học sinh tiểu học trên xe khi người quản lý và người lái xe đã rời xe.
- Người lái xe ô tô đưa đón trẻ em mầm non, học sinh phải có tối thiểu 02 năm kinh nghiệm lái xe vận tải hành khách.
- Cơ sở giáo dục phải xây dựng quy trình bảo đảm an toàn khi đưa đón trẻ em mầm non, học sinh; hướng dẫn cho lái xe và người quản lý trẻ em mầm non, học sinh nắm vững và thực hiện đúng quy trình; chịu trách nhiệm bảo đảm trật tự, an toàn giao thông đường bộ khi tổ chức đưa đón trẻ em mầm non, học sinh của cơ sở giáo dục đó.
- Xe đưa đón trẻ em mầm non, học sinh được ưu tiên trong tổ chức phân luồng, điều tiết giao thông, bố trí nơi dừng xe, đỗ xe tại khu vực trường học và tại các điểm trên lộ trình đưa đón trẻ em mầm non, học sinh.","36/2024/QH15::article::46, 36/2024/QH15::article::35::clause::1, 36/2024/QH15::article::35::clause::2, 36/2024/QH15::article::10::clause::3, 36/2024/QH15::article::46::clause::1::point::a"
6,"Quy định về kiểm định khí thải đối với mô tô, xe gắn máy?","Điều 42 Luật Trật tự, an toàn giao thông đường bộ năm 2024 quy định việc kiểm định đối với mô tô, xe gắn máy chỉ thực hiện kiểm định về khí thải. Việc kiểm định khí thải thực hiện theo quy định của pháp luật về bảo vệ môi trường được thực hiện tại các cơ sở kiểm định khí thải đáp ứng quy chuẩn kỹ thuật quốc gia.
Quy định này áp dụng từ ngày 01/01/2025.",36/2024/QH15::article::42
7,Điểm của giấy phép lái xe được quy định như thế nào?,"Điều 58 Luật Trật tự, an toàn giao thông đường bộ năm 2024 quy định: Điểm của giấy phép lái xe (GPLX) được dùng để quản lý việc chấp hành pháp luật về trật tự, an toàn giao thông đường bộ của người lái xe, bao gồm 12 điểm. Số điểm trừ mỗi lần vi phạm tùy thuộc tính chất, mức độ của hành vi vi phạm.
Dữ liệu về điểm trừ giấy phép lái xe của người vi phạm sẽ được cập nhật vào hệ thống cơ sở dữ liệu ngay sau khi quyết định xử phạt có hiệu lực. GPLX được phục hồi đủ 12 điểm khi chưa bị trừ hết điểm và không bị trừ điểm trong thời hạn 12 tháng kể từ ngày bị trừ điểm gần nhất.
Trường hợp GPLX bị trừ hết điểm thì người đó không được điều khiển phương tiện tham gia giao thông đường bộ theo loại giấy phép đã bị trừ hết điểm.
Sau ít nhất 6 tháng kể từ ngày bị trừ hết điểm, người có GPLX được tham gia kiểm tra nội dung kiến thức pháp luật về trật tự an toàn giao thông theo quy định.
Việc kiểm tra kiến thức do lực lượng Cảnh sát giao thông tổ chức, người có GPLX có kết quả đạt yêu cầu mới được phục hồi đủ 12 điểm.
Quy định trừ điểm GPLX bắt đầu được áp dụng từ ngày 1/1/2025",36/2024/QH15::article::58
8,Giấy phép lái xe theo quy định mới có bao nhiêu hạng?,"Khoản 1 Điều 57 Luật Trật tự an toàn giao thông đường bộ quy định Giấy phép lái xe bao gồm 15 hạng:
1. Hạng A1 cấp cho người lái xe mô tô hai bánh có dung tích xi-lanh đến 125 cm3 hoặc có công suất động cơ điện đến 11 kW;
2. Hạng A cấp cho người lái xe mô tô hai bánh có dung tích xi-lanh trên 125 cm3 hoặc có công suất động cơ điện trên 11 kW và các loại xe quy định cho giấy phép lái xe hạng A1;
3. Hạng B1 cấp cho người lái xe mô tô ba bánh và các loại xe quy định cho giấy phép lái xe hạng A1;
4. Hạng B cấp cho người lái xe ô tô chở người đến 08 chỗ (không kể chỗ của người lái xe); xe ô tô tải và ô tô chuyên dùng có khối lượng toàn bộ theo thiết kế đến 3.500 kg; các loại xe ô tô quy định cho giấy phép lái xe hạng B kéo rơ moóc có khối lượng toàn bộ theo thiết kế đến 750 kg;
5. Hạng C1 cấp cho người lái xe ô tô tải và ô tô chuyên dùng có khối lượng toàn bộ theo thiết kế trên 3.500 kg đến 7.500 kg; các loại xe ô tô tải quy định cho giấy phép lái xe hạng C1 kéo rơ moóc có khối lượng toàn bộ theo thiết kế đến 750 kg; các loại xe quy định cho giấy phép lái xe hạng B;
6. Hạng C cấp cho người lái xe ô tô tải và ô tô chuyên dùng có khối lượng toàn bộ theo thiết kế trên 7.500 kg; các loại xe ô tô tải quy định cho giấy phép lái xe hạng C kéo rơ moóc có khối lượng toàn bộ theo thiết kế đến 750 kg; các loại xe quy định cho giấy phép lái xe hạng B và hạng C1;
7. Hạng D1 cấp cho người lái xe ô tô chở người trên 08 chỗ (không kể chỗ của người lái xe) đến 16 chỗ (không kể chỗ của người lái xe); các loại xe ô tô chở người quy định cho giấy phép lái xe hạng D1 kéo rơ moóc có khối lượng toàn bộ theo thiết kế đến 750 kg; các loại xe quy định cho giấy phép lái xe các hạng B, C1, C;
8. Hạng D2 cấp cho người lái xe ô tô chở người (kể cả xe buýt) trên 16 chỗ (không kể chỗ của người lái xe) đến 29 chỗ (không kể chỗ của người lái xe); các loại xe ô tô chở người quy định cho giấy phép lái xe hạng D2 kéo rơ moóc có khối lượng toàn bộ theo thiết kế đến 750 kg; các loại xe quy định cho giấy phép lái xe các hạng B, C1, C, D1;
9. Hạng D cấp cho người lái xe ô tô chở người (kể cả xe buýt) trên 29 chỗ (không kể chỗ của người lái xe); xe ô tô chở người giường nằm; các loại xe ô tô chở người quy định cho giấy phép lái xe hạng D kéo rơ moóc có khối lượng toàn bộ theo thiết kế đến 750 kg; các loại xe quy định cho giấy phép lái xe các hạng B, C1, C, D1, D2;
10. Hạng BE cấp cho người lái các loại xe ô tô quy định cho giấy phép lái xe hạng B kéo rơ moóc có khối lượng toàn bộ theo thiết kế trên 750 kg;
11. Hạng C1E cấp cho người lái các loại xe ô tô quy định cho giấy phép lái xe hạng C1 kéo rơ moóc có khối lượng toàn bộ theo thiết kế trên 750 kg;
12. Hạng CE cấp cho người lái các loại xe ô tô quy định cho giấy phép lái xe hạng C kéo rơ moóc có khối lượng toàn bộ theo thiết kế trên 750 kg; xe ô tô đầu kéo kéo sơ mi rơ moóc;
13. Hạng D1E cấp cho người lái các loại xe ô tô quy định cho giấy phép lái xe hạng D1 kéo rơ moóc có khối lượng toàn bộ theo thiết kế trên 750 kg;
14. Hạng D2E cấp cho người lái các loại xe ô tô quy định cho giấy phép lái xe hạng D2 kéo rơ moóc có khối lượng toàn bộ theo thiết kế trên 750 kg;
15. Hạng DE cấp cho người lái các loại xe ô tô quy định cho giấy phép lái xe hạng D kéo rơ moóc có khối lượng toàn bộ theo thiết kế trên 750 kg; xe ô tô chở khách nối toa.",36/2024/QH15::article::57::clause::1
9,Cấp đổi giấy phép lái xe được cấp trước ngày 01/01/2025 được quy định như thế nào?,"Khoản 3 Điều 89 Luật Trật tự giao thông đường bộ quy định giấy phép lái xe được cấp trước ngày Luật này có hiệu lực 01/01/2025 có nhu cầu đổi, cấp lại giấy phép lái xe thì thực hiện như sau:
1. Giấy phép lái xe hạng A1 được đổi, cấp lại sang giấy phép lái xe hạng A với điều kiện hạn chế là chỉ được điều khiển xe mô tô hai bánh có dung tích xi-lanh đến dưới 175 cm3 hoặc có công suất động cơ điện đến dưới 14 kW;
2. Giấy phép lái xe hạng A2 được đổi, cấp lại sang giấy phép lái xe hạng A;
3. Giấy phép lái xe hạng A3 được đổi, cấp lại sang giấy phép lái xe hạng B1;
3. Giấy phép lái xe hạng A4 được đổi, cấp lại sang chứng chỉ điều khiển xe máy chuyên dùng cho người điều khiển máy kéo có trọng tải đến 1.000 kg và chứng chỉ bồi dưỡng kiến thức pháp luật về giao thông đường bộ cho người điều khiển xe máy chuyên dùng;
4. Giấy phép lái xe hạng B1 số tự động được đổi, cấp lại sang giấy phép lái xe hạng B với điều kiện hạn chế là chỉ được điều khiển xe ô tô số tự động;
5. Giấy phép lái xe hạng B1, B2 được đổi, cấp lại sang giấy phép lái xe hạng B hoặc hạng C1 và chứng chỉ điều khiển xe máy chuyên dùng cho người điều khiển máy kéo có trọng tải đến 3.500 kg;
6. Giấy phép lái xe hạng C giữ nguyên và đổi, cấp lại cùng hạng và chứng chỉ điều khiển xe máy chuyên dùng cho người điều khiển máy kéo có trọng tải trên 3.500 kg;
7. Giấy phép lái xe hạng D được đổi, cấp lại sang giấy phép lái xe hạng D2 và chứng chỉ điều khiển xe máy chuyên dùng cho người điều khiển máy kéo có trọng tải trên 3.500 kg;
8. Giấy phép lái xe hạng E được đổi, cấp lại sang giấy phép lái xe hạng D và chứng chỉ điều khiển xe máy chuyên dùng cho người điều khiển máy kéo có trọng tải trên 3.500 kg;
9. Giấy phép lái xe hạng FB2 được đổi, cấp lại sang giấy phép lái xe hạng BE hoặc hạng C1E và chứng chỉ điều khiển xe máy chuyên dùng cho người điều khiển máy kéo có trọng tải đến 3.500 kg;
10. Giấy phép lái xe hạng FC được đổi, cấp lại sang giấy phép lái xe hạng CE và chứng chỉ điều khiển xe máy chuyên dùng cho người điều khiển máy kéo có trọng tải trên 3.500 kg;
11. Giấy phép lái xe hạng FD được đổi, cấp lại sang giấy phép lái xe hạng D2E và chứng chỉ điều khiển xe máy chuyên dùng cho người điều khiển máy kéo có trọng tải trên 3.500 kg;
12. Giấy phép lái xe hạng FE được đổi, cấp lại sang giấy phép lái xe hạng DE và chứng chỉ điều khiển xe máy chuyên dùng cho người điều khiển máy kéo có trọng tải trên 3.500 kg.",36/2024/QH15::article::89::clause::3
10,"Nghị định số 100/2019/NĐ-CP ngày 30/12/2019 của Chính phủ quy 
định về nội dung gì? Và có hiệu lực từ khi nào?","Theo quy định tại khoản 1 Điều 1 và Điều 84 Nghị định số 100/2019/NĐ
CP ngày 30/12/2019 của Chính phủ quy định xử phạt vi phạm hành chính trong lĩnh 
vực giao thông đường bộ và đường sắt (được sửa đổi, bổ sung bởi Nghị định số 
123/2021/NĐ-CP ngày 28/12/2021 của Chính phủ sửa đổi, bổ sung một số điều của 
các Nghị định quy định xử phạt vi phạm hành chính trong lĩnh vực hàng hải; giao 
thông đường bộ, đường sắt; hàng không dân dụng): Nghị định này quy định về hành vi 
vi phạm hành chính; hình thức, mức xử phạt, biện pháp khắc phục hậu quả đối với 
từng hành vi vi phạm hành chính; thẩm quyền lập biên bản, thẩm quyền xử phạt, mức 
phạt tiền cụ thể theo từng chức danh đối với hành vi vi phạm hành chính trong lĩnh 
vực giao thông đường bộ và đường sắt. 
Nghị định này có hiệu lực thi hành từ ngày 01 tháng 01 năm 2020. 
Nghị định này thay thế Nghị định số 46/2016/NĐ-CP ngày 26 tháng 5 năm 
2016 của Chính phủ quy định xử phạt vi phạm hành chính trong lĩnh vực giao thông 
đường bộ và đường sắt.","100/2019/NĐ-CP::article::1::clause::1, 100/2019/NĐ-CP::article::84"
