id,question,answer,reference
1,Người tham gia giao thông đường bộ phải chấp hành báo hiệu đường bộ theo thứ tự ưu tiên nào?,"Căn cứ khoản 2 Điều 11 Luật Trật tự, an toàn giao thông đường bộ 2024, người tham gia giao thông đường bộ phải chấp hành báo hiệu đường bộ theo thứ tự ưu tiên từ trên xuống dưới như sau:
(i) Hiệu lệnh của người điều khiển giao thông.
(ii) Tín hiệu đèn giao thông.
(iii) Biển báo hiệu đường bộ.
(iv) Vạch kẻ đường và các dấu hiệu khác trên mặt đường.
(v) Cọc tiêu, tường bảo vệ, rào chắn, đinh phản quang, tiêu phản quang, cột Km, cọc H.
(vi) Thiết bị âm thanh báo hiệu đường bộ.",36/2024/QH15::article::11::clause::2
2,Dừng xe che khuất biển báo hiệu đường bộ bị phạt bao nhiêu tiền?,"(i) Đối với xe ô tô:
Người điều khiển xe ô tô dừng xe che khuất biển báo hiệu đường bộ bị phạt tiền 800 nghìn - 01 triệu đồng (theo điểm đ khoản 3 Điều 6 Nghị định 168/2024/NĐ-CP).
(ii) Đối với xe máy chuyên dùng:
Người điều khiển xe máy chuyên dùng dừng xe che khuất biển báo hiệu đường bộ bị phạt tiền tù 600 - 800 nghìn đồng (theo điểm b khoản 2 Điều 8 Nghị định 168/2024/NĐ-CP).","168/2024/NĐ-CP::article::6::clause::3::point::đ, 168/2024/NĐ-CP::article::8::clause::2::point::b"
3,Hiệu lệnh của người điều khiển giao thông được quy định như thế nào?,"Căn cứ khoản 3 Điều 11 Luật Trật tự, an toàn giao thông đường bộ 2024, hiệu lệnh của người điều khiển giao thông được quy định như sau:
a) Tay bên phải giơ thẳng đứng để báo hiệu cho người tham gia giao thông đường bộ ở tất cả các hướng phải dừng lại;
b) Hai tay hoặc một tay dang ngang để báo hiệu cho người tham gia giao thông đường bộ ở phía trước và ở phía sau người điều khiển giao thông phải dừng lại; người tham gia giao thông đường bộ ở phía bên phải và bên trái người điều khiển giao thông được đi;
c) Tay bên phải giơ về phía trước để báo hiệu cho người tham gia giao thông đường bộ ở phía sau và bên phải người điều khiển giao thông phải dừng lại; người tham gia giao thông đường bộ ở phía trước người điều khiển giao thông được rẽ phải; người tham gia giao thông đường bộ ở phía bên trái người điều khiển giao thông được đi tất cả các hướng; người đi bộ qua đường phải đi sau lưng người điều khiển giao thông.",36/2024/QH15::article::11::clause::3
4,"Người điều khiển xe mô tô phải quan sát, giảm tốc độ hoặc dừng lại để bảo đảm an toàn trong các trường hợp nào?","Căn cứ khoản 3 Điều 12 Luật Trật tự, an toàn giao thông đường bộ 2024 quy định người điều khiển xe mô tô phải quan sát, giảm tốc độ hoặc dừng lại để bảo đảm an toàn trong các trường hợp sau đây:
- Tại nơi có vạch kẻ đường hoặc báo hiệu khác dành cho người đi bộ hoặc tại nơi mà người đi bộ, xe lăn của người khuyết tật đang qua đường;
- Có báo hiệu cảnh báo nguy hiểm hoặc có chướng ngại vật trên đường;
- Chuyển hướng xe chạy hoặc tầm nhìn bị hạn chế;
- Nơi đường bộ giao nhau cùng mức với đường bộ, đường bộ giao nhau cùng mức với đường sắt; đường hẹp, đường vòng, đường quanh co, đường đèo, dốc;
- Nơi cầu, cống hẹp, đập tràn, đường ngầm, hầm chui, hầm đường bộ;
- Khu vực có trường học, bệnh viện, bến xe, công trình công cộng tập trung đông người, khu vực đông dân cư, chợ, khu vực đang thi công trên đường bộ, hiện trường vụ tai nạn giao thông đường bộ;
- Có vật nuôi đi trên đường hoặc chăn thả ở ven đường;
- Tránh xe đi ngược chiều hoặc khi cho xe đi phía sau vượt; khi có tín hiệu xin đường, tín hiệu khẩn cấp của xe đi cùng chiều phía trước;
- Điểm dừng xe, đỗ xe trên đường bộ có khách đang lên, xuống xe;
- Gặp xe vận chuyển hàng siêu trường, siêu trọng, hàng hóa nguy hiểm; đoàn người đi bộ;
- Gặp xe ưu tiên;
- Điều kiện trời mưa, gió, sương, khói, bụi, mặt đường trơn trượt, lầy lội, có nhiều đất đá, vật liệu rơi vãi ảnh hưởng đến an toàn giao thông đường bộ;
- Khu vực đang tổ chức kiểm soát giao thông đường bộ.",36/2024/QH15::article::12::clause::3
5,"Hành vi không đội “mũ bảo hiểm cho người đi mô tô, xe máy” hoặc đội “mũ bảo hiểm cho người đi mô tô, xe máy” không cài quai đúng quy cách khi điều khiển xe tham gia giao thông trên đường bộ và chở người ngồi trên xe không đội “mũ bảo hiểm cho người đi mô tô, xe máy” hoặc đội “mũ bảo hiểm cho người đi mô tô, xe máy” không cài quai đúng quy cách, trừ trường hợp chở người bệnh đi cấp cứu, trẻ em dưới 06 tuổi, áp giải người có hành vi vi phạm pháp luật bị xử phạt vi phạm hành chính như thế nào?","Tại điểm h, i Khoản 2 Điều 7 Nghị định 168/2024/NĐ-CP quy định như sau:
Phạt tiền từ 400.000 đồng đến 600.000 đồng đối với người điều khiển xe thực hiện một trong các hành vi vi phạm sau đây: Không đội “mũ bảo hiểm cho người đi mô tô, xe máy” hoặc đội “mũ bảo hiểm cho người đi mô tô, xe máy” không cài quai đúng quy cách khi điều khiển xe tham gia giao thông trên đường bộ và chở người ngồi trên xe không đội “mũ bảo hiểm cho người đi mô tô, xe máy” hoặc đội “mũ bảo hiểm cho người đi mô tô, xe máy” không cài quai đúng quy cách, trừ trường hợp chở người bệnh đi cấp cứu, trẻ em dưới 06 tuổi, áp giải người có hành vi vi phạm pháp luật.","168/2024/NĐ-CP::article::7::clause::2::point::h, 168/2024/NĐ-CP::article::7::clause::2::point::i"
6,Xe ô tô không chấp hành hiệu lệnh của đèn tín hiệu giao thông bị phạt bao nhiêu?,"Căn cứ điểm b khoản 9; điểm b khoản 10; điểm b, điểm d khoản 16 Điều 6 Nghị định 168/2024/NĐ-CP quy định xử phạt, trừ điểm giấy phép lái xe của người điều khiển xe ô tô, xe chở người bốn bánh có gắn động cơ, xe chở hàng bốn bánh có gắn động cơ và các loại xe tương tự xe ô tô vi phạm quy tắc giao thông đường bộ:
Theo đó, người điều khiển xe ô tô tham gia giao thông không chấp hành hiệu lệnh của đèn tín hiệu giao thông thì bị phạt tiền từ 18.000.000 đồng đến 20.000.000 đồng và bị trừ 04 điểm giấy phép lái xe.
Trường hợp, người điều khiển xe ô tô tham gia giao thông không chấp hành hiệu lệnh của đèn tín hiệu giao thông mà gây tai nạn giao thông thì bị phạt tiền từ 20.000.000 đồng đến 22.000.000 đồng và bị trừ 10 điểm giấy phép lái xe.","168/2024/NĐ-CP::article::6::clause::9::point::b, 168/2024/NĐ-CP::article::6::clause::10::point::b, 168/2024/NĐ-CP::article::6::clause::16::point::b, 168/2024/NĐ-CP::article::6::clause::16::point::d"
7,Không chấp hành hiệu lệnh của đèn tín hiệu giao thông xe máy bị phạt bao nhiêu?,"Căn cứ điểm c khoản 7; điểm b khoản 10; điểm b, điểm d khoản 13 Điều 7 Nghị định 168/2024/NĐ-CP quy định xử phạt, trừ điểm giấy phép lái của người điều khiển xe mô tô, xe gắn máy, các loại xe tương tự xe mô tô và các loại xe tương tự xe gắn máy vi phạm quy tắc giao thông đường bộ:
Theo đó, người điều khiển xe máy không chấp hành hiệu lệnh của đèn tín hiệu giao thông thì có thể bị phạt tiền từ 4.000.000 đồng đến 6.000.000 đồng và bị trừ 04 điểm giấy phép lái xe.
Trường hợp, người điều khiển xe máy không chấp hành hiệu lệnh của đèn tín hiệu giao thông mà gây tai nạn giao thông thì bị phạt tiền từ 10.000.000 đồng đến 14.000.000 đồng và bị trừ 10 điểm giấy phép lái xe.","168/2024/NĐ-CP::article::7::clause::7::point::c, 168/2024/NĐ-CP::article::7::clause::10::point::b, 168/2024/NĐ-CP::article::7::clause::13::point::b, 168/2024/NĐ-CP::article::7::clause::13::point::d"
8,Vượt đường ngang khi đèn đỏ bật sáng bị phạt bao nhiêu tiền?,"Tại Điều 47 Nghị định 100/2019/NĐ-CP được sửa đổi bởi khoản 34 Điều 2 Nghị định 123/2021/NĐ-CP có quy định về lỗi vượt đường ngang khi đèn đỏ bật sáng sẽ bị xử phạt như sau:
- Phạt tiền từ 60.000 đồng đến 100.000 đồng đối với người đi bộ
- Phạt tiền từ 100.000 đồng đến 200.000 đồng đối với xe đạp, xe đạp máy, người điều khiển xe thô sơ
- Phạt tiền từ 800.000 đồng đến 1.000.000 đồng đối với xe mô tô, xe gắn máy (kể cả xe máy điện), các loại xe tương tự xe mô tô và các loại xe tương tự xe gắn máy
- Phạt tiền từ 4.000.000 đồng đến 6.000.000 đồng đối với xe ô tô, các loại xe tương tự xe ô tô
- Phạt tiền từ 2.000.000 đồng đến 3.000.000 đồng đối với máy kéo, xe máy chuyên dùng
Ngoài ra, còn bị áp dụng hình thức xử phạt bổ sung tước quyền sử dụng Giấy phép lái xe (khi điều khiển phương tiện giao thông cơ giới đường bộ), chứng chỉ bồi dưỡng kiến thức pháp luật về giao thông đường bộ (khi điều khiển xe máy chuyên dùng) từ 01 tháng đến 03 tháng.","100/2019/NĐ-CP::article::47, 123/2021/NĐ-CP::article::2::clause::34"
9,Quy định bật đèn xe? Bật đèn xe vào giờ nào để không bị xử phạt?,"Căn cứ Điều 20 Luật Trật tự an toàn giao thông đường bộ 2024, người lái xe, người điều khiển xe máy chuyên dùng tham gia giao thông đường bộ phải bật đèn chiếu sáng phía trước trong thời gian từ 18 giờ ngày hôm trước đến 06 giờ ngày hôm sau hoặc khi có sương mù, khói, bụi, trời mưa, thời tiết xấu làm hạn chế tầm nhìn.
[1] Đối với người điều khiển xe mô tô, xe gắn máy, các loại xe tương tự xe mô tô và các loại xe tương tự xe gắn máy
Căn cứ điểm g khoản 1 Điều 7 Nghị định 168/2024/NĐ-CP quy định như sau:
Người điều khiển xe mô tô, xe gắn máy, các loại xe tương tự xe mô tô và các loại xe tương tự xe gắn máy không sử dụng đèn chiếu sáng trong thời gian từ 18 giờ ngày hôm trước đến 06 giờ ngày hôm sau hoặc khi có sương mù, khói, bụi, trời mưa, thời tiết xấu làm hạn chế tầm nhìn sẽ bị phạt tiền từ 200.000 đồng đến 400.000 đồng theo quy định của pháp luật
[2] Đối với người điều khiển xe ô tô, xe chở người bốn bánh có gắn động cơ, xe chở hàng bốn bánh có gắn động cơ và các loại xe tương tự xe ô tô
Căn cứ điểm g khoản 3 Điều 6 Nghị định 168/2024/NĐ-CP quy định như sau:
Người điều khiển xe ô tô, xe chở người bốn bánh có gắn động cơ, xe chở hàng bốn bánh có gắn động cơ và các loại xe tương tự xe ô tô không sử dụng hoặc sử dụng không đủ đèn chiếu sáng trong thời gian từ 18 giờ ngày hôm trước đến 06 giờ ngày hôm sau hoặc khi có sương mù, khói, bụi, trời mưa, thời tiết xấu làm hạn chế tầm nhìn sẽ bị phạt tiền từ 800.000 đồng đến 1.000.000 đồng.","36/2024/QH15::article::20::clause::1, 168/2024/NĐ-CP::article::7::clause::1::point::g, 168/2024/NĐ-CP::article::6::clause::3::point::g"
10,Thay đổi kết cấu xe có thể được hiểu là gì? Lỗi thay đổi kết cấu xe máy phạt bao nhiêu?,"Theo quy định tại khoản 7 Điều 2; khoản 11 Điều 9 Luật Trật tự, an toàn giao thông đường bộ 2024:
Thay đổi kết cấu xe có thể được hiểu là việc cải tạo làm thay đổi đặc điểm của xe đã đăng ký hoặc xe nhập khẩu đã qua sử dụng, dẫn đến thay đổi kiểu loại xe theo quy định của cơ quan có thẩm quyền. Pháp luật nghiêm cấm các hành vi cải tạo trái phép (trừ mục đích quốc phòng, an ninh), và các can thiệp làm sai lệch thông số kỹ thuật của xe.
Theo quy định tại khoản 8 Điều 32 Nghị định 168/2024/NĐ-CP thì mức phạt đối với hành vi thay đổi kết cấu xe máy trái phép cụ thể, như sau:
- Từ 4.000.000 đồng đến 6.000.000 đồng đối với cá nhân;
- Từ 8.000.000 đồng đến 12.000.000 đồng đối với tổ chức chủ xe mô tô, xe gắn máy;
Các hành vi vi phạm trên bao gồm tự ý thay đổi khung, máy, hình dáng, kích thước, đặc tính của xe.","36/2024/QH15::article::2::clause::7, 36/2024/QH15::article::9::clause::11, 168/2024/NĐ-CP::article::32::clause::8"
